round,t1,t2,t3,t4,offset,rtt,diff
1,1731141188.5967243,1731141188.8221745,None,1731141188.9972992,0.20028746128082275,0.4005749225616455,9.799003601074219e-05
2,1731141195.000785,1731141195.2262952,None,1731141195.401452,0.20033347606658936,0.4006669521331787,1.0967254638671875e-05
3,1731141196.0808337,1731141196.3063202,None,1731141196.4814813,0.20032382011413574,0.4006476402282715,2.4318695068359375e-05
4,1731141207.1921558,1731141207.417652,None,1731141207.5928223,0.20033323764801025,0.4006664752960205,2.4318695068359375e-05
5,1731141208.716243,1731141208.9417436,None,1731141209.116891,0.2003239393234253,0.4006478786468506,1.0728836059570312e-05
6,1731141210.4851727,1731141210.710685,None,1731141210.8858817,0.2003544569015503,0.4007089138031006,3.0279159545898438e-05
7,1731141211.4328365,1731141211.6583567,None,1731141211.8335047,0.2003340721130371,0.4006681442260742,1.6689300537109375e-06
8,1731141213.0120218,1731141213.2375116,None,1731141213.4127421,0.20036017894744873,0.40072035789489746,5.7697296142578125e-05
9,1731141214.6698623,1731141214.895376,None,1731141215.0705829,0.20036029815673828,0.40072059631347656,3.409385681152344e-05
10,1731141215.837605,1731141216.0630958,None,1731141216.238251,0.2003229856491089,0.4006459712982178,2.002716064453125e-05
11,1731141217.2419112,1731141217.4674146,None,1731141217.6428256,0.20045721530914307,0.40091443061828613,0.000141143798828125
12,1731141219.0595908,1731141219.2850804,None,1731141219.4602191,0.20031416416168213,0.40062832832336426,1.2159347534179688e-05
13,1731141220.0357804,1731141220.2612755,None,1731141220.436421,0.20032024383544922,0.40064048767089844,1.2636184692382812e-05
14,1731141221.521404,1731141221.7469568,None,1731141221.9221156,0.20035576820373535,0.4007115364074707,9.775161743164062e-06
15,1731141227.6332498,1731141227.8587406,None,1731141228.033862,0.20030617713928223,0.40061235427856445,2.384185791015625e-06
16,1731141233.8121867,1731141234.037708,None,1731141234.212865,0.2003391981124878,0.4006783962249756,5.4836273193359375e-06
17,1731141235.1757514,1731141235.4012027,None,1731141235.576329,0.2002887725830078,0.4005775451660156,2.5033950805664062e-05
18,1731141236.5269172,1731141236.7525792,None,1731141236.9277875,0.20043516159057617,0.40087032318115234,3.9577484130859375e-05
19,1731141238.381944,1731141238.6074567,None,1731141238.7826157,0.20033586025238037,0.40067172050476074,1.049041748046875e-05
20,1731141239.8055556,1731141240.0310488,None,1731141240.2061853,0.20031487941741943,0.40062975883483887,8.821487426757812e-06
21,1731141241.0292144,1731141241.2547069,None,1731141241.429866,0.2003258466720581,0.4006516933441162,2.0503997802734375e-05
22,1731141242.617945,1731141242.8434472,None,1731141243.0186045,0.20032978057861328,0.40065956115722656,1.5020370483398438e-05
23,1731141243.581489,1731141243.8069882,None,1731141243.9821415,0.20032620429992676,0.4006524085998535,1.4543533325195312e-05
24,1731141249.9419384,1731141250.1674373,None,1731141250.3426068,0.20033419132232666,0.4006683826446533,2.193450927734375e-05
25,1731141250.894551,1731141251.1200442,None,1731141251.2952602,0.20035457611083984,0.4007091522216797,4.887580871582031e-05
26,1731141252.343954,1731141252.569439,None,1731141252.744789,0.2004173994064331,0.4008347988128662,0.00011968612670898438
27,1731141253.2604263,1731141253.4859636,None,1731141253.661107,0.2003403902053833,0.4006807804107666,9.5367431640625e-06
