round,t1,t2,t3,t4,offset,rtt,diff
1,1731092216.5128727,1731092216.307907,None,1731092216.613776,-0.15451395511627197,0.10090327262878418,0.10084676742553711
2,1731092217.3135362,1731092217.2628455,None,1731092217.414125,-0.0003962516784667969,0.10058879852294922,0.10050559043884277
3,1731092223.1068594,1731092223.0565588,None,1731092223.2074497,-5.4836273193359375e-06,0.10059022903442383,0.10050106048583984
4,1731092224.2320194,1731092224.1817305,None,1731092224.3325489,-2.4199485778808594e-05,0.10052943229675293,0.10047698020935059
5,1731092230.197123,1731092230.1469276,None,1731092230.2977052,9.560585021972656e-05,0.10058212280273438,0.10057234764099121
6,1731092231.7337081,1731092231.6833472,None,1731092231.8342307,-9.965896606445312e-05,0.10052251815795898,0.10047292709350586
7,1731092232.574475,1731092232.5242152,None,1731092232.6749616,-1.6570091247558594e-05,0.10048651695251465,0.10045623779296875
8,1731092233.977947,1731092233.9277072,None,1731092234.078437,5.245208740234375e-06,0.10049009323120117,0.10046124458312988
9,1731092235.2507741,1731092235.2005246,None,1731092235.3513057,1.621246337890625e-05,0.10053157806396484,0.10047745704650879
10,1731092235.873907,1731092235.8237603,None,1731092235.974579,0.00018918514251708984,0.10067200660705566,0.10066628456115723
11,1731092236.6896796,1731092236.6392066,None,1731092236.7901747,-0.00022542476654052734,0.1004951000213623,0.10044193267822266
12,1731092237.5788794,1731092237.5286055,None,1731092237.6794274,1.1920928955078125e-07,0.10054802894592285,0.10044217109680176
13,1731092239.029384,1731092238.9791143,None,1731092239.129829,-4.7087669372558594e-05,0.10044503211975098,0.10039448738098145
14,1731092240.0615008,1731092240.0113366,None,1731092240.1620045,8.761882781982422e-05,0.10050368309020996,0.10048198699951172
15,1731092240.7270901,1731092240.6768184,None,1731092240.8276763,2.1338462829589844e-05,0.1005861759185791,0.10050368309020996
16,1731092241.3763328,1731092241.3260674,None,1731092241.4768806,8.58306884765625e-06,0.10054779052734375,0.10051202774047852
17,1731092242.516244,1731092242.4659584,None,1731092242.6168332,9.059906005859375e-06,0.10058927536010742,0.10052108764648438
18,1731092248.8348076,1731092248.7844863,None,1731092248.9353275,-6.139278411865234e-05,0.10051989555358887,0.10045933723449707
19,1731092249.637538,1731092249.5872993,None,1731092249.7380702,2.753734588623047e-05,0.10053229331970215,0.10048723220825195
20,1731092255.3770385,1731092255.3267639,None,1731092255.4776015,6.9141387939453125e-06,0.10056304931640625,0.1004941463470459
21,1731092256.6772246,1731092256.626942,None,1731092256.7777593,-1.537799835205078e-05,0.10053467750549316,0.1004786491394043
22,1731092257.9204195,1731092257.870144,None,1731092258.0209363,-1.71661376953125e-05,0.10051679611206055,0.10046172142028809
23,1731092263.8612306,1731092263.8110006,None,1731092263.9617856,4.744529724121094e-05,0.1005549430847168,0.1005089282989502
24,1731092265.2185726,1731092265.168275,None,1731092265.319097,-3.528594970703125e-05,0.1005244255065918,0.10047364234924316
25,1731092266.7856731,1731092266.7354217,None,1731092266.8862076,1.5735626220703125e-05,0.10053443908691406,0.10048961639404297
26,1731092267.5031018,1731092267.452991,None,1731092267.6038194,0.000247955322265625,0.10071754455566406,0.1007375717163086
27,1731092268.1673658,1731092268.1169012,None,1731092268.2681196,-8.7738037109375e-05,0.1007537841796875,0.10064959526062012
28,1731092269.5727398,1731092269.5223045,None,1731092269.6732743,-0.00016808509826660156,0.10053443908691406,0.10048174858093262
29,1731092270.9965177,1731092270.9462414,None,1731092271.097033,-1.8596649169921875e-05,0.10051536560058594,0.1004629135131836
30,1731092272.4150965,1731092272.3649404,None,1731092272.5157337,0.00016248226165771484,0.10063719749450684,0.10062551498413086
31,1731092273.2170286,1731092273.1666136,None,1731092273.3176048,-0.00012695789337158203,0.10057616233825684,0.10049796104431152
32,1731092279.3426583,1731092279.2923732,None,1731092279.4431894,-1.9550323486328125e-05,0.10053110122680664,0.1004786491394043
33,1731092280.2225878,1731092280.172324,None,1731092280.3231099,-2.86102294921875e-06,0.10052204132080078,0.10047602653503418
34,1731092281.1372285,1731092281.0869656,None,1731092281.2377534,-4.76837158203125e-07,0.10052490234375,0.10047554969787598
35,1731092281.834705,1731092281.784439,None,1731092281.9352171,-1.0013580322265625e-05,0.10051202774047852,0.10046529769897461
36,1731092282.6273925,1731092282.5771174,None,1731092282.7279024,-2.014636993408203e-05,0.1005098819732666,0.10044527053833008
37,1731092283.7920227,1731092283.7417798,None,1731092283.8926003,4.589557647705078e-05,0.10057759284973145,0.10049080848693848
38,1731092284.8695605,1731092284.819294,None,1731092284.9701037,5.125999450683594e-06,0.10054326057434082,0.10049676895141602
39,1731092285.7013526,1731092285.6511335,None,1731092285.8020113,0.00011026859283447266,0.10065865516662598,0.10060739517211914
40,1731092286.9650736,1731092286.9146764,None,1731092287.0656152,-0.00012636184692382812,0.10054159164428711,0.10048031806945801
41,1731092288.388177,1731092288.33791,None,1731092288.4887004,-5.245208740234375e-06,0.10052347183227539,0.10047531127929688
42,1731092289.1266026,1731092289.0763452,None,1731092289.2271261,4.291534423828125e-06,0.10052347183227539,0.1004796028137207
43,1731092290.488474,1731092290.4382052,None,1731092290.5890086,-1.3113021850585938e-06,0.10053467750549316,0.10047793388366699
44,1731092291.6739142,1731092291.62366,None,1731092291.7744582,1.7881393432617188e-05,0.10054397583007812,0.10049557685852051
45,1731092292.9894702,1731092292.9391897,None,1731092293.0900142,-8.58306884765625e-06,0.10054397583007812,0.10048699378967285
