round,t1,t2,t3,t4,offset,rtt,diff
1,1731093319.5951493,1731093319.51374,1731093319.5138297,1731093319.6056714,-0.08662545680999756,0.010522127151489258,9.226799011230469e-05
2,1731093320.8915093,1731093320.8967793,1731093320.8968396,1731093320.902235,-6.270408630371094e-05,0.010725736618041992,0.00010704994201660156
3,1731093322.027216,1731093322.0325391,1731093322.0325992,1731093322.037856,3.314018249511719e-05,0.010640144348144531,7.700920104980469e-05
4,1731093322.542038,1731093322.5473094,1731093322.5473697,1731093322.5525384,5.137920379638672e-05,0.010500431060791016,2.5033950805664062e-05
5,1731093323.7303574,1731093323.7356067,1731093323.7356687,1731093323.7408268,4.553794860839844e-05,0.010469436645507812,1.0728836059570312e-05
6,1731093325.129607,1731093325.134803,1731093325.1349049,1731093325.1401782,-3.8623809814453125e-05,0.01057124137878418,1.8358230590820312e-05
7,1731093326.057208,1731093326.0624387,1731093326.0625,1731093326.067727,1.7881393432617188e-06,0.010519027709960938,1.5735626220703125e-05
8,1731093326.9823482,1731093326.9876003,1731093326.987662,1731093326.9929523,-1.9073486328125e-05,0.010604143142700195,3.62396240234375e-05
9,1731093328.0819626,1731093328.0872128,1731093328.0872734,1731093328.0924823,2.0623207092285156e-05,0.010519742965698242,1.5020370483398438e-05
10,1731093329.141566,1731093329.1467562,1731093329.1468174,1731093329.1520474,-1.990795135498047e-05,0.01048135757446289,3.457069396972656e-05
11,1731093330.1677861,1731093330.1730556,1731093330.1731172,1731093330.1782944,4.6133995056152344e-05,0.010508298873901367,1.049041748046875e-05
12,1731093331.519966,1731093331.5251954,1731093331.5252557,1731093331.5305216,-1.823902130126953e-05,0.010555744171142578,7.867813110351562e-06
13,1731093332.9378216,1731093332.943129,1731093332.9431906,1731093332.9484298,3.409385681152344e-05,0.010608196258544922,2.7418136596679688e-05
14,1731093333.9968293,1731093334.0020208,1731093334.002082,1731093334.0073311,-2.872943878173828e-05,0.010501861572265625,1.6689300537109375e-06
15,1731093335.2577326,1731093335.2629473,1731093335.2630084,1731093335.268259,-1.800060272216797e-05,0.010526418685913086,2.0265579223632812e-05
16,1731093336.623631,1731093336.6289022,1731093336.6289625,1731093336.6342013,1.621246337890625e-05,0.010570287704467773,3.5762786865234375e-06
17,1731093337.2167742,1731093337.2220101,1731093337.2220707,1731093337.2273228,-8.106231689453125e-06,0.010548591613769531,1.1444091796875e-05
