round,t1,t2,t3,t4,offset,rtt,diff
1,1731092138.4777508,1731092138.6295218,1731092138.6295867,1731092138.5784996,0.10142910480499268,0.10074877738952637,8.797645568847656e-05
2,1731092139.6373138,1731092139.6876414,1731092139.687708,1731092139.7380407,-2.6226043701171875e-06,0.10072684288024902,2.4080276489257812e-05
3,1731092140.9575932,1731092141.0079668,1731092141.0080311,1731092141.0583713,1.6689300537109375e-05,0.10077810287475586,6.9141387939453125e-06
4,1731092141.6014593,1731092141.6517756,1731092141.6518404,1731092141.702257,-5.0067901611328125e-05,0.10079765319824219,5.698204040527344e-05
5,1731092143.101466,1731092143.1518316,1731092143.1519918,1731092143.202283,3.731250762939453e-05,0.10081696510314941,2.0265579223632812e-05
6,1731092149.0707645,1731092149.1210823,1731092149.1211479,1731092149.1714835,-8.940696716308594e-06,0.10071897506713867,2.9087066650390625e-05
7,1731092155.6557713,1731092155.7062137,1731092155.7062786,1731092155.7566407,4.017353057861328e-05,0.10086941719055176,1.1444091796875e-05
8,1731092162.0986283,1731092162.1489465,1731092162.1490116,1731092162.1993737,-2.193450927734375e-05,0.10074543952941895,1.049041748046875e-05
9,1731092163.3524032,1731092163.4027424,1731092163.402809,1731092163.4531572,-4.5299530029296875e-06,0.1007540225982666,1.5020370483398438e-05
10,1731092164.7932281,1731092164.8435278,1731092164.8435922,1731092164.8939736,-4.088878631591797e-05,0.10074543952941895,5.555152893066406e-05
11,1731092170.5644822,1731092170.6149364,1731092170.6150014,1731092170.6653173,6.914138793945312e-05,0.10083508491516113,1.33514404296875e-05
12,1731092172.0948017,1731092172.145089,1731092172.1451542,1731092172.1955168,-3.7670135498046875e-05,0.10071516036987305,2.4318695068359375e-05
13,1731092173.3456151,1731092173.3959627,1731092173.3960292,1731092173.4463675,4.649162292480469e-06,0.10075235366821289,1.9788742065429688e-05
14,1731092173.9631321,1731092174.0134144,1731092174.013481,1731092174.0637724,-4.649162292480469e-06,0.10064029693603516,2.4318695068359375e-05
15,1731092174.786763,1731092174.8370864,1731092174.8371534,1731092174.8874671,4.887580871582031e-06,0.10070419311523438,1.9788742065429688e-05
16,1731092175.8359268,1731092175.886267,1731092175.8863335,1731092175.936664,4.76837158203125e-06,0.10073733329772949,1.5020370483398438e-05
17,1731092177.1245396,1731092177.1749127,1731092177.1749783,1731092177.2253191,1.609325408935547e-05,0.10077953338623047,1.1920928955078125e-06
18,1731092178.665948,1731092178.7162476,1731092178.716332,1731092178.7667284,-4.839897155761719e-05,0.10078048706054688,4.673004150390625e-05
19,1731092180.14534,1731092180.1956923,1731092180.1957593,1731092180.2460628,2.4437904357910156e-05,0.1007227897644043,2.288818359375e-05
20,1731092180.8031554,1731092180.8535373,1731092180.8536026,1731092180.9039552,1.4662742614746094e-05,0.1007997989654541,8.106231689453125e-06
21,1731092182.396461,1731092182.4467802,1731092182.4468453,1731092182.497277,-5.626678466796875e-05,0.10081601142883301,6.413459777832031e-05
22,1731092183.2556274,1731092183.305987,1731092183.3060524,1731092183.3563373,3.731250762939453e-05,0.10070991516113281,2.6941299438476562e-05
23,1731092183.8830411,1731092183.9334717,1731092183.933537,1731092183.9838202,7.367134094238281e-05,0.10077905654907227,1.811981201171875e-05
24,1731092185.1885817,1731092185.2388337,1731092185.2389596,1731092185.2893565,-7.2479248046875e-05,0.10077476501464844,2.5987625122070312e-05
25,1731092186.4037929,1731092186.4541461,1731092186.4542103,1731092186.5045252,1.919269561767578e-05,0.10073232650756836,6.4373016357421875e-06
26,1731092187.3657575,1731092187.4160585,1731092187.4161243,1731092187.46651,-4.2319297790527344e-05,0.10075259208679199,4.839897155761719e-05
27,1731092188.701404,1731092188.7517788,1731092188.7518427,1731092188.802271,-2.6702880859375e-05,0.10086679458618164,7.534027099609375e-05
28,1731092190.171418,1731092190.22191,1731092190.2219758,1731092190.2722461,0.00011086463928222656,0.10082817077636719,3.552436828613281e-05
29,1731092191.7511575,1731092191.801443,1731092191.8015091,1731092191.8518949,-5.0067901611328125e-05,0.10073733329772949,8.511543273925781e-05
30,1731092192.837017,1731092192.887342,1731092192.8874092,1731092192.9377425,-4.172325134277344e-06,0.10072541236877441,1.9073486328125e-05
31,1731092194.2499104,1731092194.3002338,1731092194.3003,1731092194.3507864,-8.153915405273438e-05,0.1008760929107666,0.00010037422180175781
